"reference_path","bytes","observed_purpose","boundary","owner","disposition","provenance_decision","dependencies"
"force-app/main/default/lwc/bulkRecordUploadStatus/bulkRecordUploadStatus.js-meta.xml","209","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadUtils/bulkRecordUploadUtils.js","8225","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadUtils/bulkRecordUploadUtils.js-meta.xml","209","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/jsconfig.json","354","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/BulkRecordUploadConfig__mdt.object-meta.xml","257","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Batch_Size__c.field-meta.xml","322","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Handler_Name__c.field-meta.xml","298","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Is_Active__c.field-meta.xml","247","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Is_Preview__c.field-meta.xml","250","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Operation_Type__c.field-meta.xml","1038","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Preview_Custom_Permission__c.field-meta.xml","324","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Return_All_Fields__c.field-meta.xml","604","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/SObject_API_Name__c.field-meta.xml","553","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Sharing_Groups__c.field-meta.xml","453","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Show_Default_Columns__c.field-meta.xml","562","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Slack_Channel__c.field-meta.xml","300","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/fields/Slack_Notification__c.field-meta.xml","1340","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/listViews/All.listView-meta.xml","549","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadConfig__mdt/listViews/All2.listView-meta.xml","508","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/BulkRecordUploadFieldBehavior__mdt.object-meta.xml","273","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Behavior_Options__c.field-meta.xml","355","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Behavior__c.field-meta.xml","3709","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/BulkRecordUploadConfig__c.field-meta.xml","574","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Field_API_Name__c.field-meta.xml","398","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Field_Label__c.field-meta.xml","392","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Field_Type__c.field-meta.xml","390","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Is_Active__c.field-meta.xml","312","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Is_Match_Key__c.field-meta.xml","883","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Is_Required__c.field-meta.xml","317","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Is_Upsert_Key__c.field-meta.xml","321","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/fields/Sample_Value__c.field-meta.xml","347","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/BulkRecordUploadFieldBehavior__mdt/listViews/All2.listView-meta.xml","484","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/.DS_Store","6148","OS-generated file","Generated","None","Discard","Not a source input","None"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/Bulk_Record_Upload_Log__c.object-meta.xml","708","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Batch_Job_Id__c.field-meta.xml","297","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Component_Location__c.field-meta.xml","310","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Component_Title__c.field-meta.xml","304","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Default_Values_File_Id__c.field-meta.xml","575","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/End_Time__c.field-meta.xml","207","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Error_Summary__c.field-meta.xml","283","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Failure_Count__c.field-meta.xml","328","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/File_Name__c.field-meta.xml","292","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/File_Size_KB__c.field-meta.xml","328","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/IsArchived__c.field-meta.xml","615","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Process_Dev_Name__c.field-meta.xml","306","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Process_Run_Time__c.field-meta.xml","470","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Record_Count__c.field-meta.xml","326","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Results_File_Id__c.field-meta.xml","303","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Start_Time__c.field-meta.xml","211","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Status__c.field-meta.xml","1231","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Success_Count__c.field-meta.xml","328","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Success_Rate__c.field-meta.xml","425","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Uploaded_By__c.field-meta.xml","379","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/fields/Uploaded_File_Id__c.field-meta.xml","305","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/listViews/All.listView-meta.xml","465","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/listViews/Completed_Uploads.listView-meta.xml","626","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/listViews/Error_Uploads.listView-meta.xml","637","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/Bulk_Record_Upload_Log__c/listViews/In_Progress_Uploads.listView-meta.xml","639","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/GlobalPlatformEvent__e.object-meta.xml","263","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/CorrelationId__c.field-meta.xml","270","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/EventName__c.field-meta.xml","261","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/FeatureName__c.field-meta.xml","265","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/InitiatedBy__c.field-meta.xml","265","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/ParentRecordId__c.field-meta.xml","272","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/Payload__c.field-meta.xml","303","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/ProcessName__c.field-meta.xml","265","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/RecordId__c.field-meta.xml","259","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/SourceObject__c.field-meta.xml","268","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/TeamName__c.field-meta.xml","260","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/objects/GlobalPlatformEvent__e/fields/Version__c.field-meta.xml","284","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/permissionsets/BulkRecordUpload.permissionset-meta.xml","4419","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/permissionsets/BulkRecordUploadCommunity.permissionset-meta.xml","4438","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/profiles/Admin.profile-meta.xml","24774","Reference broad profile access","Security","Security owner","Discard","No source license found; profiles are not portable least-privilege inputs","Referenced metadata"
"force-app/main/default/tabs/Bulk_Record_Upload_Center.tab-meta.xml","311","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/tabs/Bulk_Record_Upload_Guide.tab-meta.xml","307","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/tabs/Bulk_Record_Upload_Log__c.tab-meta.xml","223","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/triggers/BulkRecordUploadLogTrigger.trigger","318","Reference trigger behavior","Optional integration or core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Apex and referenced object"
"force-app/main/default/triggers/BulkRecordUploadLogTrigger.trigger-meta.xml","178","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/triggers/GlobalPlatformEventTrigger.trigger","137","Reference trigger behavior","Optional integration or core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Apex and referenced object"
"force-app/main/default/triggers/GlobalPlatformEventTrigger.trigger-meta.xml","178","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"jest.config.js","170","Reference JavaScript tool configuration","Tooling","Release maintainer","Replace","Dependency licenses must be reviewed independently","Node.js toolchain"
"manifest/bulkUploadPackage.xml","4971","Reference deployment manifest","Packaging","Release maintainer","Reimplement","No source license found; rebuild from approved package boundary","Approved production metadata"
"manifest/delta2package.xml","621","Reference deployment manifest","Packaging","Release maintainer","Reimplement","No source license found; rebuild from approved package boundary","Approved production metadata"
"manifest/delta3Package.xml","1409","Reference deployment manifest","Packaging","Release maintainer","Reimplement","No source license found; rebuild from approved package boundary","Approved production metadata"
"manifest/deltaPackage.xml","1264","Reference deployment manifest","Packaging","Release maintainer","Reimplement","No source license found; rebuild from approved package boundary","Approved production metadata"
"manifest/globalplatformeventpackage.xml","1443","Reference deployment manifest","Packaging","Release maintainer","Reimplement","No source license found; rebuild from approved package boundary","Approved production metadata"
"manifest/package.xml","12769","Reference deployment manifest","Packaging","Release maintainer","Reimplement","No source license found; rebuild from approved package boundary","Approved production metadata"
"package-lock.json","354535","Reference JavaScript tool configuration","Tooling","Release maintainer","Replace","Dependency licenses must be reviewed independently","Node.js toolchain"
"package.json","1480","Reference JavaScript tool configuration","Tooling","Release maintainer","Replace","Dependency licenses must be reviewed independently","Node.js toolchain"
"ppt-content-draft.txt","34516","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"sample/account_sample.csv","852","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"sample/opportunity_sample.csv","703","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"schema.md","15543","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"scripts/.DS_Store","10244","OS-generated file","Generated","None","Discard","Not a source input","None"
"scripts/docs/generate_behavior_ref.py","22204","Reference repository automation","Tooling","Release maintainer","Reimplement","No source license found; reproduce only required behavior","Reviewed CLI workflow"
"scripts/test-data/README.md","4921","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"scripts/test-data/account_delete_happy_path.csv","79","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"scripts/test-data/account_inactive_happy_path.csv","259","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"scripts/test-data/contact_upsert_happy_path.csv","379","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"scripts/test-data/contact_upsert_partial_errors.csv","382","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"scripts/test-data/opportunity_create_happy_path.csv","446","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"scripts/test-data/opportunity_update_happy_path.csv","335","Reference CSV example or test case","Examples and tests","Test maintainer","Reimplement","No source license found; create synthetic project-owned data","Approved CSV contract"
"sfdx-project.json","224","Reference Salesforce project configuration","Packaging","Release maintainer","Reimplement","No source license found; derive from approved package contract","Salesforce DX"
"template-guide.md","13056","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
